Time,Diff Angle,Left Motor Speed,Right Motor Speed,,,,
15.60266876,-24,41.901,16.464,,,,
15.61775494,-22,41.901,16.464,,,,
15.64229298,-21,41.955,16.485,,,,
15.67005348,-21,41.955,16.485,,,,
15.68879128,-21,41.955,16.485,,,,
15.7043736,-21,41.955,16.485,,,,
15.73020577,-22,41.901,16.464,,,,
15.76222277,-18,41.955,16.485,,,,
15.77889752,-18,41.955,16.485,,,,
15.79537654,-19,41.955,16.485,,,,
15.81328201,-18,41.955,16.485,,,,
15.83218527,-18,41.955,16.485,,,,
15.84835577,-17,41.9725,16.4915,,,,
15.87400556,-16,41.9725,16.4915,,,,
15.89324117,-18,41.955,16.485,,,,
15.9110086,-16,41.9725,16.4915,,,,
15.9266026,-15,41.9725,16.4915,,,,
15.94864297,-15,41.9725,16.4915,,,,
15.96945739,-15,41.9725,16.4915,,,,
15.99374628,-15,41.9725,16.4915,,,,
16.01500344,-15,41.9725,16.4915,,,,
16.03041077,-13,41.9775,16.4935,,,,
16.05168343,-12,41.9775,16.4935,,,,
16.06758022,-14,41.9775,16.4935,,,,
16.09108019,-12,41.9775,16.4935,,,,
16.10898471,-12,41.9775,16.4935,,,,
16.13920689,-11,41.9775,16.4935,,,,
16.15855932,-11,41.9775,16.4935,,,,
16.17534661,-11,41.9775,16.4935,,,,
16.19178605,-9,40.214,23.582,,,,
16.24771643,-9,40.214,23.582,,,,
16.26467276,-7,41.4285,41.401,,,,
16.28880334,-8,40.214,23.582,,,,
16.30496955,-8,40.214,23.582,,,,
16.32057977,-7,41.4285,41.401,,,,
16.35797143,-6,41.4285,41.401,,,,
16.3737669,-6,41.4285,41.401,,,,
16.39992023,-4,41.4285,41.401,,,,
16.41673923,-4,41.4285,41.401,,,,
16.43242979,-4,41.4285,41.401,,,,
16.49316645,-4,41.4285,41.401,,,,
16.51568174,-5,41.4285,41.401,,,,
16.53215933,-4,41.4285,41.401,,,,
16.54715252,-4,41.4285,41.401,,,,
16.56300306,-3,41.842,41.842,,,,
16.58090186,-1,41.842,41.842,,,,
16.59660029,-2,41.842,41.842,,,,
16.62047648,-3,41.842,41.842,,,,
16.63593936,-1,41.842,41.842,,,,
16.72688699,-1,41.842,41.842,,,,
16.74382043,-1,41.842,41.842,,,,
16.7605083,-2,41.842,41.842,,,,
16.77898383,-2,41.842,41.842,,,,
16.79624748,0,41.842,41.842,,,,6.967416999
16.81404638,0,41.842,41.842,,,,5
16.83189321,0,41.842,41.842,,,,
16.85135007,0,41.842,41.842,,,,
16.86846399,1,41.401,41.4285,,,,
16.88359642,0,41.842,41.842,,,,
16.89919853,0,41.842,41.842,,,,
16.91575027,1,41.401,41.4285,,,,
16.93758035,1,41.401,41.4285,,,,
16.95793843,0,41.842,41.842,,,,
16.97619367,1,41.401,41.4285,,,,
16.99320316,0,41.842,41.842,,,,
17.00986838,1,41.401,41.4285,,,,
17.02532673,2,41.401,41.4285,,,,
17.04947686,1,41.401,41.4285,,,,
17.06505752,1,41.401,41.4285,,,,
17.08224773,2,41.401,41.4285,,,,
17.09835887,2,41.401,41.4285,,,,
17.12101889,1,41.401,41.4285,,,,
17.13696957,1,41.401,41.4285,,,,
17.15749002,1,41.401,41.4285,,,,
17.17336679,2,41.401,41.4285,,,,
17.19656706,3,41.401,41.4285,,,,
17.22861624,3,41.401,41.4285,,,,
17.24880838,2,41.401,41.4285,,,,
17.26497269,2,41.401,41.4285,,,,
17.28641438,2,41.401,41.4285,,,,
17.33176947,1,41.401,41.4285,,,,
17.34838486,3,41.401,41.4285,,,,
17.37977791,2,41.401,41.4285,,,,
17.39719748,3,41.401,41.4285,,,,
17.41264725,3,41.401,41.4285,,,,
17.53229499,4,23.582,40.214,,,,
17.54872394,3,41.401,41.4285,,,,
17.56817198,4,23.582,40.214,,,,
17.58574104,3,41.401,41.4285,,,,
17.60406184,3,41.401,41.4285,,,,
17.61954737,4,23.582,40.214,,,,
17.64190435,3,41.401,41.4285,,,,
17.65850782,4,23.582,40.214,,,,
17.67658091,4,23.582,40.214,,,,
17.69259405,4,23.582,40.214,,,,
17.70883298,3,41.401,41.4285,,,,
