Time,Diff Angle,Left Motor Speed,Right Motor Speed
14.39136291,0,41.842,41.842
14.41119504,-1,41.842,41.842
14.42775559,2,41.401,41.4285
14.44744492,1,41.401,41.4285
14.47017264,0,41.842,41.842
14.49011707,1,41.401,41.4285
14.50569201,2,41.401,41.4285
14.52615142,1,41.401,41.4285
14.54185605,0,41.842,41.842
14.58030844,1,41.401,41.4285
14.59783292,2,41.401,41.4285
14.61337852,2,41.401,41.4285
14.63330078,2,41.401,41.4285
14.65049171,2,41.401,41.4285
14.69197273,3,41.401,41.4285
14.70763612,2,41.401,41.4285
14.72900629,3,41.401,41.4285
14.74627209,2,41.401,41.4285
14.76195645,3,41.401,41.4285
14.80031013,3,41.401,41.4285
14.81596994,3,41.401,41.4285
14.83523369,4,23.582,40.214
14.85324717,4,23.582,40.214
14.87541866,3,41.401,41.4285
14.94413018,4,23.582,40.214
14.96095872,3,41.401,41.4285
14.97648454,4,23.582,40.214
14.99632072,5,23.582,40.214
15.04352021,3,41.401,41.4285
15.05943274,4,23.582,40.214
15.07828617,4,23.582,40.214
15.09522653,5,23.582,40.214
15.11232543,4,23.582,40.214
15.16435742,4,23.582,40.214
15.18078065,4,23.582,40.214
15.20196891,3,41.401,41.4285
15.21850872,4,23.582,40.214
15.23587322,4,23.582,40.214
15.26817989,4,23.582,40.214
15.29192042,4,23.582,40.214
15.31228089,4,23.582,40.214
15.33037567,4,23.582,40.214
15.34986353,5,23.582,40.214
15.37521219,4,23.582,40.214
15.39079738,4,23.582,40.214
15.40660548,5,23.582,40.214
15.42222285,4,23.582,40.214
15.47669578,4,23.582,40.214
15.49309611,4,23.582,40.214
15.50856853,5,23.582,40.214
15.52468657,2,41.401,41.4285
15.54539537,5,23.582,40.214
15.57950306,4,23.582,40.214
15.59664941,3,41.401,41.4285
15.61427855,4,23.582,40.214
15.64101863,4,23.582,40.214
15.65879798,4,23.582,40.214
15.69162726,5,23.582,40.214
15.70754957,4,23.582,40.214
15.7285018,3,41.401,41.4285
15.74902463,3,41.401,41.4285
15.77203774,4,23.582,40.214
15.80276394,3,41.401,41.4285
15.81852436,2,41.401,41.4285
15.8344872,3,41.401,41.4285
15.84968591,2,41.401,41.4285
15.90394425,2,41.401,41.4285
15.92071915,2,41.401,41.4285
15.93595552,2,41.401,41.4285
15.95125818,3,41.401,41.4285
15.97150564,3,41.401,41.4285
15.99469995,3,41.401,41.4285
16.01412535,2,41.401,41.4285
16.03167033,3,41.401,41.4285
16.04763246,3,41.401,41.4285
16.06322932,3,41.401,41.4285
16.07873178,3,41.401,41.4285
16.10093117,4,23.582,40.214
16.12300158,3,41.401,41.4285
16.13936615,3,41.401,41.4285
16.1579802,2,41.401,41.4285
16.17458296,3,41.401,41.4285
16.19066739,4,23.582,40.214
16.20666599,2,41.401,41.4285
16.23991966,2,41.401,41.4285
16.25969887,3,41.401,41.4285
16.27499795,3,41.401,41.4285
16.28988791,2,41.401,41.4285
16.30507326,3,41.401,41.4285
16.3207202,4,23.582,40.214
16.3372736,2,41.401,41.4285
16.35540652,3,41.401,41.4285
16.37920666,3,41.401,41.4285
16.39467502,3,41.401,41.4285
16.41047764,4,23.582,40.214
16.43114781,2,41.401,41.4285
16.4489069,2,41.401,41.4285
16.48128319,2,41.401,41.4285
16.49647665,2,41.401,41.4285
16.5120852,4,23.582,40.214
16.53051567,3,41.401,41.4285
16.55576944,3,41.401,41.4285
16.59914017,2,41.401,41.4285
16.61502981,2,41.401,41.4285
16.63497758,3,41.401,41.4285
16.65079331,3,41.401,41.4285
16.67693019,2,41.401,41.4285
16.70091844,3,41.401,41.4285
16.71668696,2,41.401,41.4285
16.73263812,3,41.401,41.4285
16.75263667,3,41.401,41.4285
16.77438807,3,41.401,41.4285
16.79596114,3,41.401,41.4285
16.812572,5,23.582,40.214
16.83033442,2,41.401,41.4285
16.84672308,2,41.401,41.4285
16.86343622,2,41.401,41.4285
16.88511276,4,23.582,40.214
16.90250611,3,41.401,41.4285
16.92111611,3,41.401,41.4285
16.93915844,3,41.401,41.4285
17.00972795,2,41.401,41.4285
17.02488017,2,41.401,41.4285
17.0401988,3,41.401,41.4285
17.05576444,3,41.401,41.4285
17.071661,3,41.401,41.4285
17.09661889,3,41.401,41.4285
17.11761045,4,23.582,40.214
17.13791656,2,41.401,41.4285
17.15376973,3,41.401,41.4285
17.23327804,4,23.582,40.214
17.24925518,2,41.401,41.4285
17.27557063,2,41.401,41.4285
17.2943387,2,41.401,41.4285
17.31066442,3,41.401,41.4285
17.33142805,3,41.401,41.4285
17.3547802,3,41.401,41.4285
17.37179923,3,41.401,41.4285
17.39554429,3,41.401,41.4285
17.41268826,3,41.401,41.4285
17.43451476,2,41.401,41.4285
17.4510417,3,41.401,41.4285
17.47029257,2,41.401,41.4285
17.49203014,3,41.401,41.4285
17.5103724,2,41.401,41.4285
17.54161286,2,41.401,41.4285
17.55755305,2,41.401,41.4285
17.57593846,2,41.401,41.4285
17.5931828,2,41.401,41.4285
17.64545584,2,41.401,41.4285
17.6610229,2,41.401,41.4285
17.67664981,3,41.401,41.4285
17.69832087,2,41.401,41.4285
17.71370006,2,41.401,41.4285
17.73496819,4,23.582,40.214
17.75585127,2,41.401,41.4285
17.77262807,3,41.401,41.4285
17.78767991,2,41.401,41.4285
17.8037138,2,41.401,41.4285
17.86752391,2,41.401,41.4285
17.88439894,3,41.401,41.4285
17.90162373,1,41.401,41.4285
17.92071176,2,41.401,41.4285
17.93605375,2,41.401,41.4285
18.01896191,3,41.401,41.4285
18.03509402,2,41.401,41.4285
18.05042362,1,41.401,41.4285
18.06969023,2,41.401,41.4285
18.09319496,2,41.401,41.4285
18.11106992,3,41.401,41.4285
18.12952089,3,41.401,41.4285
18.14562774,2,41.401,41.4285
18.16160417,2,41.401,41.4285
18.17674828,3,41.401,41.4285
18.19199014,2,41.401,41.4285
18.20774364,2,41.401,41.4285
18.23114872,3,41.401,41.4285
18.24659729,3,41.401,41.4285
18.34712672,2,41.401,41.4285
18.36264944,2,41.401,41.4285
18.37779212,1,41.401,41.4285
18.39300728,2,41.401,41.4285
18.41032887,2,41.401,41.4285
18.42760491,3,41.401,41.4285
18.44491267,2,41.401,41.4285
18.46184683,2,41.401,41.4285
18.47795558,2,41.401,41.4285
18.5016644,3,41.401,41.4285
18.51665115,2,41.401,41.4285
18.53395653,2,41.401,41.4285
18.54925561,2,41.401,41.4285
18.56881404,2,41.401,41.4285
18.61517859,2,41.401,41.4285
18.63014174,2,41.401,41.4285
18.6452899,2,41.401,41.4285
18.66306806,3,41.401,41.4285
18.67808461,3,41.401,41.4285
18.69769907,3,41.401,41.4285
18.71352148,3,41.401,41.4285
18.73464799,1,41.401,41.4285
18.74975228,3,41.401,41.4285
18.76822948,3,41.401,41.4285
18.7832818,3,41.401,41.4285
18.80327106,3,41.401,41.4285
18.81856394,3,41.401,41.4285
18.83607483,2,41.401,41.4285
18.85554862,3,41.401,41.4285
18.87107611,2,41.401,41.4285
18.89003253,2,41.401,41.4285
18.92839932,2,41.401,41.4285
18.94342947,2,41.401,41.4285
18.95858002,3,41.401,41.4285
18.97387481,2,41.401,41.4285
18.98965859,3,41.401,41.4285
19.04144549,2,41.401,41.4285
19.05722618,3,41.401,41.4285
19.07285881,3,41.401,41.4285
19.08848715,2,41.401,41.4285
19.10400033,3,41.401,41.4285
19.12223458,2,41.401,41.4285
19.13776255,2,41.401,41.4285
19.15585184,2,41.401,41.4285
19.17448115,3,41.401,41.4285
19.25675583,3,41.401,41.4285
19.27281094,3,41.401,41.4285
19.28834057,2,41.401,41.4285
19.30975127,2,41.401,41.4285
19.32518053,2,41.401,41.4285
19.34761143,2,41.401,41.4285
19.36839199,3,41.401,41.4285
19.38455224,2,41.401,41.4285
19.40014172,2,41.401,41.4285
19.41582274,2,41.401,41.4285
19.49145484,2,41.401,41.4285
19.50799012,2,41.401,41.4285
19.52256012,2,41.401,41.4285
19.54052782,2,41.401,41.4285
19.55597854,2,41.401,41.4285
19.5786562,2,41.401,41.4285
19.59665012,1,41.401,41.4285
19.61173368,1,41.401,41.4285
19.62680125,2,41.401,41.4285
19.69143867,3,41.401,41.4285
19.70728421,3,41.401,41.4285
19.72307801,2,41.401,41.4285
19.73808789,2,41.401,41.4285
19.75853443,1,41.401,41.4285
19.79799557,1,41.401,41.4285
19.81596994,3,41.401,41.4285
