Date,Time,Latitude,Longitude,Initial Latitude,Initial Longitude,Bearing,Angle,Diff Angle,Left Motor Speed,Right Motor Speed
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,161,-108.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
,,2.944382,101.87468,2.944382,101.874677,269.9999999239695,160,-109.99999992396948,0,0
