Date,Time,Latitude,Longitude,Initial Latitude,Initial Longitude,Bearing,Angle,Diff Angle,Left Motor Speed,Right Motor Speed
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,340,-110.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,339,-111.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,339,-111.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,339,-111.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,339,-111.00000004561832,0,0
,,2.944605,101.87445,2.944605,101.874452,90.00000004561832,339,-111.00000004561832,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,340,-83.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,340,-83.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,339,-84.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,337,-86.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,338,-85.40465718205581,0,0
,,2.944604,101.87445,2.944605,101.874452,63.40465718205583,337,-86.40465718205581,0,0
