0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.036755,0.038052,0.041351,0.041904,0.038974,0.036755,0.036755,0.036755,0.036756,0.036763,0.036763,0.036763,0.036763,0.036763,0.036763,0.036763,0.036763,0.036763,0.036763,0.036763,0.041657,0.045122,0.09887,0.11552,0.1069,0.1158,0.40879,0.50007,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.036912,0.038052,0.041351,0.041904,0.038974,0.036912,0.036912,0.036912,0.036913,0.03692,0.036926,0.036926,0.036926,0.036926,0.036926,0.036926,0.036926,0.036926,0.036926,0.036926,0.041675,0.045215,0.10085,0.11553,0.12423,0.11581,0.40924,0.50012,0.50003,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.50001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.035769,0.038052,0.041351,0.041904,0.038974,0.035769,0.035769,0.035769,0.035769,0.035776,0.03579,0.03579,0.03579,0.03579,0.036144,0.03579,0.03579,0.03579,0.03579,0.036144,0.041706,0.045382,0.10434,0.12898,0.13976,0.12929,0.41005,0.50022,0.50005,0.50002,0.50001,0.50001,0.50001,0.50001,0.50002,0.50001,0.50001,0.50001,0.50001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034812,0.034921,0.038052,0.041351,0.041904,0.038974,0.03557,0.034812,0.034812,0.034812,0.034818,0.034843,0.034843,0.034843,0.035605,0.036161,0.034843,0.034843,0.034843,0.034843,0.036161,0.041759,0.045665,0.11018,0.14479,0.15182,0.14515,0.41144,0.5004,0.50008,0.50003,0.50002,0.50002,0.50002,0.50002,0.50003,0.50003,0.50002,0.50002,0.50002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.033528,0.034921,0.038052,0.041351,0.041904,0.038974,0.03557,0.033528,0.033529,0.033529,0.033533,0.033575,0.033575,0.033575,0.03563,0.036188,0.033575,0.033575,0.033575,0.033575,0.036188,0.041846,0.046129,0.11951,0.1565,0.15844,0.15689,0.41377,0.50069,0.50014,0.50005,0.50003,0.50003,0.50003,0.50003,0.50005,0.50004,0.50003,0.50003,0.50003,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.032469,0.034921,0.038052,0.041351,0.041904,0.038974,0.03557,0.032469,0.032469,0.03247,0.032474,0.032539,0.032539,0.032539,0.035673,0.036234,0.032539,0.032539,0.032539,0.032539,0.036234,0.041994,0.046916,0.13443,0.16031,0.16014,0.16073,0.43068,0.50119,0.50025,0.50008,0.50005,0.50005,0.50005,0.50005,0.50008,0.50008,0.50005,0.50005,0.50005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.03145,0.031944,0.034921,0.038052,0.041351,0.041904,0.038974,0.03557,0.032101,0.03145,0.03145,0.031454,0.031524,0.031553,0.032211,0.03574,0.036308,0.031553,0.031553,0.031553,0.031553,0.036308,0.042228,0.048139,0.15587,0.16053,0.1602,0.16095,0.43678,0.50199,0.50041,0.50014,0.50008,0.50008,0.50008,0.50008,0.50014,0.50013,0.50009,0.50008,0.50006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.030405,0.031944,0.034921,0.038052,0.041351,0.041904,0.038974,0.03557,0.032101,0.030405,0.030405,0.030408,0.030473,0.03056,0.032281,0.035848,0.036426,0.03056,0.03056,0.03056,0.03056,0.036426,0.042603,0.050067,0.18564,0.16088,0.1603,0.1613,0.44619,0.50328,0.50068,0.50023,0.50012,0.50012,0.50012,0.50012,0.50023,0.50021,0.50014,0.50012,0.50005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031944,0.034921,0.038052,0.041351,0.041904,0.038974,0.03557,0.032101,0,0,0,0,0,0.032394,0.036023,0.036618,0.030657,0,0,0.030657,0.036618,0.043209,0.053088,0.22435,0.16145,0.16046,0.16187,0.46016,0.50534,0.50112,0.50038,0.5002,0.50019,0.50019,0.5002,0.50038,0.50035,0.50023,0.50019,0.50005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031944,0.034921,0.038052,0.041351,0.041904,0.038974,0.03557,0.032101,0,0,0,0,0,0.03256,0.036279,0.036898,0.030801,0,0,0.030801,0.036898,0.044084,0.05726,0.21947,0.16229,0.16068,0.1627,0.47886,0.50839,0.50179,0.5006,0.50032,0.50029,0.50029,0.50032,0.5006,0.50055,0.50037,0.50029,0.50005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
